d,open_front,raw_open,date,truth_open,db_err
2026-03-11,10.79,10.79,2026-03-11,10.45,0.33999999999999986
2026-03-12,10.87,10.87,2026-03-12,10.52,0.34999999999999964
2026-03-13,10.93,10.93,2026-03-13,10.58,0.34999999999999964
2026-03-16,10.93,10.93,2026-03-16,10.58,0.34999999999999964
2026-03-17,10.91,10.91,2026-03-17,10.56,0.34999999999999964
2026-03-18,11.04,11.04,2026-03-18,10.69,0.34999999999999964
2026-03-19,10.92,10.92,2026-03-19,10.57,0.34999999999999964
2026-03-20,10.87,10.87,2026-03-20,10.52,0.34999999999999964
2026-03-23,10.68,10.68,2026-03-23,10.34,0.33999999999999986
2026-03-24,10.52,10.52,2026-03-24,10.18,0.33999999999999986
2026-03-25,10.89,10.89,2026-03-25,10.54,0.3500000000000014
2026-03-26,10.91,10.91,2026-03-26,10.56,0.34999999999999964
2026-03-27,10.91,10.91,2026-03-27,10.56,0.34999999999999964
2026-03-30,10.98,10.98,2026-03-30,10.63,0.34999999999999964
2026-03-31,11.0,11.0,2026-03-31,10.65,0.34999999999999964
2026-04-01,11.09,11.09,2026-04-01,10.74,0.34999999999999964
2026-04-02,11.15,11.15,2026-04-02,10.79,0.3600000000000012
2026-04-03,11.28,11.28,2026-04-03,10.92,0.35999999999999943
2026-04-07,11.12,11.12,2026-04-07,10.77,0.34999999999999964
2026-04-08,11.11,11.11,2026-04-08,10.76,0.34999999999999964
2026-04-09,11.17,11.17,2026-04-09,10.81,0.35999999999999943
2026-04-10,11.1,11.1,2026-04-10,10.75,0.34999999999999964
2026-04-13,11.05,11.05,2026-04-13,10.7,0.3500000000000014
2026-04-14,11.07,11.07,2026-04-14,10.72,0.34999999999999964
2026-04-15,11.16,11.16,2026-04-15,10.8,0.35999999999999943
2026-04-16,11.2,11.2,2026-04-16,10.84,0.35999999999999943
2026-04-17,11.09,11.09,2026-04-17,10.74,0.34999999999999964
2026-04-20,11.01,11.01,2026-04-20,10.66,0.34999999999999964
2026-04-21,11.04,11.04,2026-04-21,10.69,0.34999999999999964
2026-04-22,11.08,11.08,2026-04-22,10.73,0.34999999999999964
2026-04-23,10.98,10.98,2026-04-23,10.63,0.34999999999999964
2026-04-24,10.98,10.98,2026-04-24,10.63,0.34999999999999964
2026-04-27,11.33,11.33,2026-04-27,10.97,0.35999999999999943
2026-04-28,11.36,11.36,2026-04-28,11.0,0.35999999999999943
2026-04-29,11.43,11.43,2026-04-29,11.07,0.35999999999999943
2026-04-30,11.5,11.5,2026-04-30,11.13,0.3699999999999992
2026-05-06,11.14,11.5,2026-05-06,11.13,0.009999999999999787
2026-05-07,11.01,11.37,2026-05-07,11.01,0.0
2026-05-08,10.98,11.34,2026-05-08,10.98,0.0
2026-05-11,10.93,11.29,2026-05-11,10.93,0.0
2026-05-12,10.92,11.28,2026-05-12,10.92,0.0
2026-05-13,10.89,11.25,2026-05-13,10.89,0.0
2026-05-14,10.780000000000001,11.14,2026-05-14,10.79,-0.00999999999999801
2026-05-15,10.690000000000001,11.05,2026-05-15,10.7,-0.00999999999999801
2026-05-18,10.600000000000001,10.96,2026-05-18,10.61,-0.00999999999999801
2026-05-19,10.47,10.83,2026-05-19,10.48,-0.009999999999999787
2026-05-20,10.5,10.86,2026-05-20,10.51,-0.009999999999999787
2026-05-21,10.42,10.78,2026-05-21,10.44,-0.019999999999999574
2026-05-22,10.34,10.7,2026-05-22,10.36,-0.019999999999999574
2026-05-25,10.32,10.68,2026-05-25,10.34,-0.019999999999999574
2026-05-26,10.350000000000001,10.71,2026-05-26,10.37,-0.019999999999997797
2026-05-27,10.4,10.76,2026-05-27,10.42,-0.019999999999999574
2026-05-28,10.4,10.76,2026-05-28,10.42,-0.019999999999999574
2026-05-29,10.290000000000001,10.65,2026-05-29,10.31,-0.019999999999999574
2026-06-01,10.540000000000001,10.9,2026-06-01,10.55,-0.009999999999999787
2026-06-02,10.620000000000001,10.98,2026-06-02,10.63,-0.009999999999999787
2026-06-03,10.67,11.03,2026-06-03,10.68,-0.009999999999999787
2026-06-04,10.55,10.91,2026-06-04,10.56,-0.009999999999999787
2026-06-05,10.47,10.83,2026-06-05,10.48,-0.009999999999999787
2026-06-08,10.610000000000001,10.97,2026-06-08,10.62,-0.00999999999999801
2026-06-09,10.65,11.01,2026-06-09,10.66,-0.009999999999999787
2026-06-10,10.71,11.07,2026-06-10,10.72,-0.009999999999999787
2026-06-11,10.96,11.32,2026-06-11,10.96,0.0
2026-06-12,11.0,11.0,2026-06-12,11.0,0.0
2026-06-15,11.21,11.21,2026-06-15,11.21,0.0
2026-06-16,11.05,11.05,2026-06-16,11.05,0.0
2026-06-17,10.97,10.97,2026-06-17,10.97,0.0
2026-06-18,10.74,10.74,2026-06-18,10.74,0.0
2026-06-22,10.52,10.52,2026-06-22,10.52,0.0
2026-06-23,10.65,10.65,2026-06-23,10.65,0.0
2026-06-24,10.68,10.68,2026-06-24,10.68,0.0
2026-06-25,10.47,10.47,2026-06-25,10.47,0.0
2026-06-26,10.42,10.42,2026-06-26,10.42,0.0
2026-06-29,10.22,10.22,2026-06-29,10.22,0.0
2026-06-30,10.22,10.22,2026-06-30,10.22,0.0
2026-07-01,10.05,10.05,2026-07-01,10.05,0.0
2026-07-02,10.2,10.2,2026-07-02,10.2,0.0
2026-07-03,10.29,10.29,2026-07-03,10.29,0.0
2026-07-06,10.25,10.25,2026-07-06,10.25,0.0
2026-07-07,10.46,10.46,2026-07-07,10.46,0.0
2026-07-08,10.44,10.44,2026-07-08,10.44,0.0
2026-07-09,10.55,10.55,2026-07-09,10.55,0.0
2026-07-10,10.5,10.5,2026-07-10,10.5,0.0
2026-07-13,10.42,10.42,2026-07-13,10.42,0.0
2026-07-14,10.53,10.53,2026-07-14,10.53,0.0
2026-07-15,10.65,10.65,2026-07-15,10.65,0.0
2026-07-16,10.85,10.85,2026-07-16,10.85,0.0
2026-07-17,10.75,10.75,2026-07-17,10.75,0.0
2026-07-20,10.75,10.75,2026-07-20,10.75,0.0
2026-07-21,10.99,10.99,2026-07-21,10.99,0.0
2026-07-22,10.81,10.81,2026-07-22,10.81,0.0
2026-07-23,10.92,10.92,2026-07-23,10.92,0.0
2026-07-24,11.09,11.09,2026-07-24,11.09,0.0
2026-07-27,11.11,11.11,2026-07-27,11.11,0.0
2026-07-28,11.1,11.1,2026-07-28,11.1,0.0
2026-07-29,11.19,11.19,2026-07-29,11.19,0.0
2026-07-30,11.28,11.28,2026-07-30,11.28,0.0
2026-07-31,11.5,11.5,2026-07-31,11.5,0.0
2026-08-03,11.54,11.54,2026-08-03,11.54,0.0
2026-08-04,11.58,11.58,2026-08-04,11.58,0.0
2026-08-05,11.41,11.41,2026-08-05,11.41,0.0
2026-08-06,11.22,11.22,2026-08-06,11.22,0.0
2026-08-07,11.23,11.23,2026-08-07,11.23,0.0
2026-08-10,11.18,11.18,2026-08-10,11.18,0.0
2026-08-11,11.31,11.31,2026-08-11,11.31,0.0
2026-08-12,11.26,11.26,2026-08-12,11.26,0.0
2026-08-13,11.23,11.23,2026-08-13,11.23,0.0
2026-08-14,11.22,11.22,2026-08-14,11.22,0.0
2026-08-17,11.2,11.2,2026-08-17,11.2,0.0
2026-08-18,11.1,11.1,2026-08-18,11.1,0.0
2026-08-19,11.08,11.08,2026-08-19,11.08,0.0
2026-08-20,11.2,11.2,2026-08-20,11.2,0.0
2026-08-21,11.36,11.36,2026-08-21,11.36,0.0
2026-08-24,11.38,11.38,2026-08-24,11.38,0.0
2026-08-25,11.57,11.57,2026-08-25,11.57,0.0
2026-08-26,11.55,11.55,2026-08-26,11.55,0.0
2026-08-27,11.7,11.7,2026-08-27,11.7,0.0
2026-08-28,11.54,11.54,2026-08-28,11.54,0.0
2026-08-31,11.64,11.64,2026-08-31,11.64,0.0
2026-09-01,11.68,11.68,2026-09-01,11.68,0.0
2026-09-02,11.92,11.92,2026-09-02,11.92,0.0
2026-09-03,11.88,11.88,2026-09-03,11.88,0.0
2026-09-04,11.86,11.86,2026-09-04,11.86,0.0
2026-09-07,11.87,11.87,2026-09-07,11.87,0.0
2026-09-08,11.66,11.66,2026-09-08,11.66,0.0
2026-09-09,11.76,11.76,2026-09-09,11.76,0.0
